"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06"
"Joel Embiid_PHI",NA,NA,58.5,0,NA,38,49.5,NA,NA
"Ben Simmons_PHI",NA,NA,66,40.5,NA,28.5,51,NA,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA,35.75
"Robert Covington_PHI",NA,NA,28.5,20.25,NA,49.5,28.5,NA,NA
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA,43.5
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA,20.5
"Dario Saric_PHI",NA,NA,39,38.5,NA,27.25,28.75,NA,NA
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA,34
"JJ Redick_PHI",NA,NA,15.5,33.25,NA,33,30.25,NA,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA,10.25
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA
"Trevor Booker_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0,0,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA,27.25
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA,26
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75,22,NA,NA,18.5
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15
"Richaun Holmes_PHI",NA,NA,0,17.75,NA,0,0,NA,NA
"Markelle Fultz_PHI",NA,NA,0,0,NA,0,0,NA,NA
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75,0,25.75,NA
"Garrett Temple_SAC",25.75,21.5,NA,NA,28.25,24,NA,NA,12.5
"Jakarr Sampson_SAC",0,0,NA,NA,0,0,NA,NA,0
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25
"Amir Johnson_PHI",NA,NA,12.5,25,NA,24.5,8,NA,NA
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA,14.5,12.75,NA,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA,0
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA,7
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5,2.75,NA,NA,0
"Dragan Bender_PHO",NA,8,10.5,NA,NA,11.75,14.25,1.25,NA
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5,0.25,NA,NA,15.75
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA,0
"Alan Williams_PHO",NA,0,0,NA,NA,0,0,0,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5,14.5,NA,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5,0,NA,NA,9
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA,0
"Brandon Knight_PHO",NA,0,0,NA,NA,0,0,0,NA
"Danuel House_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davon Reed_PHO",NA,0,0,NA,NA,0,0,0,NA
"Alec Peters_PHO",NA,0,0,NA,NA,0,0,0,NA
"Malachi Richardson_SAC",0,4,NA,NA,0,0,NA,NA,0
"Georgios Papagiannis_SAC",0,0,NA,NA,0,0,NA,NA,0
"Harry Giles_SAC",0,0,NA,NA,0,0,NA,NA,0
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA,0
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA,0
"Jacob Pullen_PHI",NA,NA,0,0,NA,0,0,NA,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA,0
"James Michael McAdoo_PHI",NA,NA,0,0,NA,0,0,NA,NA
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA,0
"Justin Anderson_PHI",NA,NA,0,0,NA,0,0,NA,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA,0
"Furkan Korkmaz_PHI",NA,NA,0,0,NA,0,0,NA,NA
