"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA,69.5,56.75,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA,51.25,26,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA,45.75,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0,0,0,NA,NA,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5,42.25,NA,NA,43.5,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA,28,NA,NA,41.25,NA,33,NA
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA,34.25,NA,NA,0,NA,21.25,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75,36.5,53.25,NA,NA,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25,30,0,NA,NA,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA,35.75,23.75,NA,24.5,38.75,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA,0,26.5,NA,NA,0,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA,20.5,37.75,NA,24.25,23.25,NA
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA,43.5,32.5,NA,22.5,37.5,NA
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA,44.5,28,NA,27.75,40.5,53.5,NA,NA,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA,35.25,35.75,NA,NA,16.5,NA
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA,24.25,13.75,NA,NA,2.75,NA
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA,0,0,NA,NA,0,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA,29.75,11.75,NA,NA,0,NA
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA,35.25,26,21.5,NA,NA,NA
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA,27,NA,NA,34.25,NA,9.25,NA
"Wilson Chandler_DEN",NA,0,NA,0,NA,0,16.75,NA,16.5,25,26.75,NA,NA,NA
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA,28.75,18.25,NA,NA,0,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA,0,0,NA,NA,28.5,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA,13.75,32.25,28.5,NA,NA,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA,17.25,10.75,NA,NA,24.75,NA
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA,5.75,NA,NA,15.5,NA,19.25,NA
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA,1.25,NA,NA,18.25,NA,16.75,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25,31.25,NA,16.25,0,22.5,NA,NA,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA,26.5,4.5,9.25,NA,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25,12,NA,8.5,12,NA
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA,3,NA,NA,17.75,NA,13,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15,14.75,NA,27,8,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA,3.5,0,NA,NA,4.25,NA
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA,16.25,0,NA,NA,25.75,NA
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA,8.5,NA,NA,6.25,NA,0,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA,25.75,13.75,NA,NA,14,NA
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA,9.5,NA,NA,0.75,NA,5.5,NA
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,14.25,NA,15.5,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA
"Meyers Leonard_POR",NA,NA,NA,5.75,NA,27,NA,3.25,NA,NA,0,NA,0,NA
"Pat Connaughton_POR",NA,NA,NA,7.25,NA,21,NA,7.75,NA,NA,4.25,NA,8,NA
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA,0,0,NA,0,0,NA
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA,7,13.25,NA,8.25,18.5,NA
"Juancho Hernangomez_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Caleb Swanigan_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
"Malik Beasley_DEN",NA,8.5,NA,0,NA,0,7.25,NA,14.75,12.5,11.25,NA,NA,NA
"CJ Wilcox_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
"Darrun Hilliard_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA
"Jake Layman_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
"Matt Costello_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA
"Joffrey Lauvergne_SA",NA,NA,0,NA,4.75,NA,0,NA,0,5.25,NA,NA,10.5,NA
"Derrick White_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA
"Wade Baldwin IV_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
"Richard Jefferson_DEN",NA,0,NA,5,NA,7.75,0,NA,0,0,0,NA,NA,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA,0,0,NA,7.75,0,NA
"Darrell Arthur_DEN",NA,0,NA,0,NA,0,0,NA,0,7.5,0,NA,NA,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,4,0,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,7.75,4,NA
"Monte Morris_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA
"Tyler Lydon_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
